filename,mild_malnutrition,moderate_malnutrition,normal_malnutrition,severe_malnutrition
360_F_938978009_8IEzrz7aI9VkmFdZasTiLKUZ16ZL1Fuq_jpg.rf.8d8eaceaaf28d699a7293f6a77a1b7d8.jpg,0,0,0,1
Sally-Laia-Kids-Bikini-11521-1_768x-progressive_jpg.rf.598ac2d6a5c0bf46f2aa6a104b4c19cd.jpg,0,0,1,0
customized-kids-swimwear-sport-competition-brief-for-boys1-0494535001599129355-jpg_jpg.rf.593a3590fac04b6ca9c78343b088af80.jpg,0,0,1,0
4800063_25035_01_MODEL_jpg.rf.b43e363a655362dd0a454365d8b8a2b7.jpg,0,0,1,0
573800_263724_800_auto_jpg_jpg.rf.70b59c640ef11b5371f7ad364a61a3c6.jpg,0,0,0,1
boy-pulling-funny-face-15067398_jpg.rf.fef80180e04474993b74638631430538.jpg,1,0,0,0
268395-skinny-boy-flexing-one-arm-eg-healthy-diet-and-fitness-grow-strong_jpg.rf.b882ea5a4749b83836e896c220a13ad3.jpg,1,0,0,0
beach-14129966_jpg.rf.05269b1faa335cd49f380da1d3e905d6.jpg,1,0,0,0
handsome-happy-little-boy-sunglasses-showing-number-one-finger-gesture-summer-water-park-vacation-caucasian-151468240_jpg.rf.90d479b411faef2e62f1552acc0ac796.jpg,1,0,0,0
images-1-_jpg.rf.4ed291b587e84035cc7ee0728ca35bc9.jpg,0,0,0,1
happy-boy-at-beach_jpg.rf.0a73753a1e95b1114b7f8e23024c9e41.jpg,1,0,0,0
978-3-642-02202-9_53_Fig3_HTML_jpg.rf.7ea36b24636279f55494895e19636d15.jpg,0,0,0,1
teenage-boy-shorts-plays-mountain-river-shallow-water-summer-176240811_jpg.rf.2de80a5b15a8d876af321e599f40fa77.jpg,1,0,0,0
177211092-a-small-thin-boy-without-muscles-raised-his-arms-to-the-top-and-shows-biceps-lean-and-skinny_jpg.rf.3c16b95d6ee1d8ad88ce03c24c98af86.jpg,1,0,0,0
81Z-gQ1JbtL_jpg.rf.d5da87107a0d6c35defc56e17a117732.jpg,0,0,1,0
amanzi-toddler-boys-looking-shark-trunks-am25229-6_jpg.rf.cea442ff216eed8f774024b438bf1d3c.jpg,0,0,1,0
children-suffering-from-malnutrition-in-gaza-receive-v0-N2k4dHEzY2t0MmlmMRrcBqeFBWKreTktkpCubs7f1ErES0iWKn1hDL9EbQTf_jpg.rf.4871ebd1a4c9e6d86178321fd10118bb.jpg,0,0,0,1
URMAGIC-Matching-Family-Swimsuits-Bikini-Sets-for-Women-Girl-Boy-Swim-Trunks-Mother-Daughter-Swimwear-Father-Son-Bathing-Suits_2bd4c93d-698_jpg.rf.94092ecfe7bb480487b7c670abd9665a.jpg,0,0,1,0
5553-PlumpyNut-March2025-Header-1_jpg.rf.7120ad995c773557af1f3b4443c32625.jpg,0,1,0,0
malnutrition-1652774567-165277-8438-6034-1652775473_jpg.rf.c77122bf1c82b7411ef5e59042473c2a.jpg,0,0,0,1
slim-kid-coming-out-of-swimming-pool_jpg.rf.d907f6ddeabdd5b8479c5234127aa547.jpg,1,0,0,0
gaza-palestine-may-19-israels-blockade-of-border-crossings-has-pushed-2-4-million_jpg.rf.f4268613c2b51acd371e9be002c99b83.jpg,0,1,0,0
Nopal-Nick-Kids-Trunks-17021-1_610d17d9-c14c-405b-aa23-f682990e55d5_jpg.rf.b23287fa8965d602f280406973caa445.jpg,0,0,1,0
41x9hhShf1L_jpg.rf.82f6b2e4760373eea09e0acedc24fc39.jpg,0,0,1,0
gaza-city-gaza-five-year-old-lana-salih-juha-who-fled-with-her-family-from-gazas-shujaiyya_jpg.rf.7c3602c1cc12ee33a7554d5e1136ffce.jpg,0,0,0,1
boy-aqua-park-27165122_jpg.rf.bea8f29cdae140966ec530dda12a2f98.jpg,1,0,0,0
se-m-maillot-garcon_jpg.rf.f8853df27159a300a329bb972ec5ebbf.jpg,0,0,1,0
com_TI_oZXyUGMYKYONOMxgOEyfvYz0-_img_posts__jpg.rf.25c6d537205d00dab4add1497dae6ec5.jpg,0,0,0,1
closeup-image-slim-asian-boy-260nw-767370991_jpg.rf.3fbb34aad9afa8acb0f3657c3e08200b.jpg,1,0,0,0
PT9086KST058_1_1600x_jpg.rf.660f6bb9d0a9bfe816f0bd132e5b3d47.jpg,0,0,1,0
portland-press-herald_3573868_jpg.rf.82892682d3a95e83be0cef1a8b2c04de.jpg,0,0,0,1
beach-13088899_jpg.rf.0a94024cf715472ba7ca0916b8e85cb8.jpg,1,0,0,0
a-young-skinny-boy-bathes-in-the-fresh-water-lake-nicaragua-B40YA5_jpg.rf.e1fc3b09a15882d5350a2707278a34c8.jpg,1,0,0,0
_104403261_ch1254919-jpg_jpg.rf.79c05efcd5c33b03e0d47db87bdd8b36.jpg,0,0,0,1
boy-holding-sand-beach-portrait-young-cold-wet-coming-out-water-wet-hair-drops-water-him-50113187_jpg.rf.d293d89d9c128c48ad643a099c93142b.jpg,1,0,0,0
khan-yunis-gaza-5-month-old-suwar-ashur-one-of-hundreds-of-children-diagnosed-with_jpg.rf.ddfab6ffb688e7981af1ddfefbc56f56.jpg,0,0,0,1
stock-photo-asia-skinny-boy-show-muscle-2264700403_jpg.rf.71fa593eaa8c4e0e5ec88dae24564a5d.jpg,1,0,0,0
child-boy-strong-school-eyeglasses-260nw-1664226466_jpg.rf.f0596ffc5ad165983fc6b387aa0f8782.jpg,1,0,0,0
PT9086KST059_1_1600x_jpg.rf.389e0ad5fbfdd48127d02d4e15e58456.jpg,0,0,1,0
_url-http_3A_2F_2Fsbs-au-brightspot-s3-amazonaws-com_2Fdrupal_2Fnews_2Fpublic_2F20180914001361083847-original_jpg.rf.ace4b5e6a45dbdc47ae19a2b30231100.jpg,0,0,0,1
sunga-army-crepusculo-fresh-marinho-inf_jpg.rf.778a721804c63068cfcac7ef7025530e.jpg,0,0,1,0
11-years-old-happy-boy-260nw-1489847108_jpg.rf.fa9589dbbbd2ec9315dd3bf9baa983b2.jpg,1,0,0,0
51Sro_1rnpL-_SX679_jpg.rf.b7033de1100a3d971c08553c01dd96b5.jpg,0,0,1,0
activities-pool-boy-swimming-playing-water-i-cute-33757420_jpg.rf.f26497cdc5da0981d5bfa2bc4fa2b331.jpg,1,0,0,0
coastal_blue_boys_swim_shorts-1_jpg.rf.6dafe5c62d44f9d4a4391e3c1e691601.jpg,0,0,1,0
2022626637918049230249171_jpg.rf.4814a518c47adcbbee9cdd66280778de.jpg,0,0,0,1
3_1668738432611_jpg.rf.0980d1ac794a9a34b7c873c9c9642c4b.jpg,0,0,1,0
Nigeria-201807252-jpg_jpg.rf.845ba308b8e1f2d67806b57c352f7cc6.jpg,0,0,0,1
pool-happy-97171_jpg.rf.9ebb5ead34fd08ef92530bbfce72672b.jpg,1,0,0,0
a-2-year-old-boy-suffering-from-serious-malnutrition-with-severe-wastening-CRPYTR_jpg.rf.155e61d5c36497526670de9ebe773efa.jpg,0,0,0,1
article-2142014-12941624000005DC-422_306x522_jpg.rf.d9aaf79c07c45f7bc48d13967ad60f52.jpg,0,0,1,0
GwuVWaKWoAEKbdT_jpg.rf.b29c9315c494a6503cf19fc68ff0ceff.jpg,0,0,0,1
1955119-malnourished_jpg.rf.8fa00115689a043a2ecb169eae75a057.jpg,0,0,0,1
s8UkSOoVRrytm6fW9x5DiA_jpg.rf.f0f79eed6271805b89ab0f4822eadcd9.jpg,0,1,0,0
0db8305b-b1c4-4c7d-98d6-313d8f8aff24-jumbo1x1_AP18325307458797_jpg.rf.2b06f35a3ae92f6cdd786f4c370c9395.jpg,0,0,0,1
